steam_appid,description
2719970,
2719850,
2719960,
2719920,
2719140,
2719840,
2719190,
2719250,
2719740,
2719820,
2719710,
2719600,
2719950,
2719830,
2720040,
2719590,
2719750,
2719990,
2719810,
2719650,
2719680,
2719860,
2719670,
2719580,
2720000,
2719210,
2719130,
2719980,
2719610,
2719720,
2720070,
2719150,
2719290,
2719270,
2719400,
2719020,
2718730,
2718340,
2719300,
2719500,
2718710,
2718460,
2719520,
2718140,
2718720,
2718500,
2719410,
2719510,
2719000,
2718570,
2719460,
2718070,
2718550,
2718310,
2718210,
2719340,
2718100,
2718160,
2718320,
2718700,
2718110,
2718120,
2719530,
2718820,
2717600,
2718560,
2717620,
2717740,
2717610,
2718030,
2717260,
2717800,
2717150,
2717780,
2717720,
2717750,
2717110,
2717160,
2717940,
2717130,
2717270,
2717950,
2717250,
2717690,
2717240,
2717850,
2717120,
2717730,
2717080,
2717810,
2718060,
2717900,
2717630,
2717140,
2717880,
2717330,
2717400,
2717450,
2716970,
2716600,
2716810,
2716290,
2716300,
2717060,
2717050,
2716780,
2716380,
2716140,
2717480,
2716720,
2716110,
2716960,
2717390,
2716830,
2716280,
2716730,
2716870,
2716940,
2717000,
2716800,
2716820,
2716530,
2716690,
2716750,
2716520,
2716270,
2716190,
2716150,
2715620,
2715830,
2715970,
2715090,
2715590,
2715660,
2715860,
2715930,
2715180,
2715740,
2715780,
2715270,
2716540,
2715760,
2715060,
2716040,
2715940,
2716550,
2715750,
2715650,
2715700,
2715730,
2715870,
2715910,
2715280,
2715980,
2715230,
2715810,
2715260,
2715790,
2715640,
2715880,
2714770,
2713390,
2714580,
2713430,
2714340,
2715000,
2713520,
2712600,
2714670,
2714220,
2712590,
2714330,
2714640,
2714130,
2714900,
2714910,
2715420,
2714760,
2714600,
2714170,
2713460,
2715290,
2712580,
2713550,
2714210,
2714270,
2715530,
2714100,
2712570,
2714970,
2715390,
2714260,
2713030,
2712740,
2712340,
2712640,
2712880,
2711630,
2711600,
2712720,
2712420,
2712550,
2712470,
2712380,
2711620,
2712480,
2712870,
2712920,
2712810,
2712540,
2712350,
2711610,
2712500,
2712410,
2712530,
2712940,
2712960,
2712930,
2713040,
2712630,
2711680,
2711690,
2712730,
2712900,
2711050,
2711240,
2711360,
2710560,
